Date,Open,High,Low,Close
2024-06-13,1.08128,1.08165,1.07334,1.07395
2024-06-14,1.07394,1.07452,1.0668,1.0706
2024-06-17,1.07043,1.07386,1.06866,1.07324
2024-06-18,1.07322,1.07616,1.07103,1.07409
2024-06-19,1.07409,1.07535,1.07254,1.07451
2024-06-20,1.07452,1.07515,1.0702,1.07046
2024-06-21,1.07046,1.07208,1.06713,1.06922
2024-06-24,1.06918,1.07465,1.06843,1.07336
2024-06-25,1.07331,1.07444,1.06909,1.07134
2024-06-26,1.07147,1.0718,1.06663,1.06805
2024-06-27,1.06809,1.07266,1.06774,1.07053
2024-06-28,1.07052,1.07248,1.06857,1.07111
2024-07-01,1.07361,1.07765,1.07201,1.07394
2024-07-02,1.07394,1.07495,1.07103,1.07456
2024-07-03,1.07456,1.08168,1.07366,1.07867
2024-07-04,1.07865,1.08165,1.07838,1.08116
2024-07-05,1.08128,1.08427,1.08095,1.08415
2024-07-08,1.08211,1.08452,1.08149,1.08265
2024-07-09,1.08262,1.08335,1.08059,1.08148
2024-07-10,1.08147,1.08315,1.08113,1.08298
2024-07-11,1.08298,1.08995,1.08298,1.08669
2024-07-12,1.08668,1.09115,1.08622,1.09063
2024-07-15,1.08904,1.09224,1.08835,1.08958
2024-07-16,1.0896,1.09056,1.08718,1.08994
2024-07-17,1.08993,1.09479,1.08957,1.09386
2024-07-18,1.09386,1.09415,1.08939,1.08975
2024-07-19,1.08976,1.09019,1.08759,1.08795
2024-07-22,1.08857,1.09029,1.08733,1.08904
2024-07-23,1.08907,1.08969,1.08442,1.08546
2024-07-24,1.08543,1.08667,1.08261,1.08405
2024-07-25,1.08405,1.08698,1.08286,1.08457
2024-07-26,1.08461,1.08683,1.08425,1.08579
2024-07-29,1.0857,1.08701,1.08032,1.08234
2024-07-30,1.08235,1.08358,1.07992,1.08144
2024-07-31,1.08143,1.08496,1.08023,1.08271
2024-08-01,1.08272,1.08355,1.07782,1.07919
2024-08-02,1.07919,1.09268,1.07821,1.09131
2024-08-05,1.0921,1.1008,1.08929,1.09535
2024-08-06,1.09536,1.09632,1.09041,1.09291
2024-08-07,1.09287,1.09368,1.09058,1.0924
2024-08-08,1.09253,1.09453,1.08819,1.09172
2024-08-09,1.09175,1.09311,1.09093,1.09189
2024-08-12,1.09188,1.09396,1.09105,1.0932
2024-08-13,1.0932,1.09998,1.09145,1.09922
2024-08-14,1.09923,1.10473,1.09867,1.1013
2024-08-15,1.10128,1.10157,1.09499,1.09735
2024-08-16,1.09723,1.1025,1.09712,1.10247
2024-08-19,1.10263,1.10876,1.1023,1.10841
2024-08-20,1.10866,1.11316,1.10723,1.11295
2024-08-21,1.11292,1.11741,1.11013,1.11483
2024-08-22,1.11487,1.11622,1.10982,1.11117
2024-08-23,1.11115,1.12007,1.11057,1.11915
2024-08-26,1.11915,1.12017,1.1151,1.11611
2024-08-27,1.11608,1.11906,1.11509,1.11838
2024-08-28,1.11839,1.11852,1.11051,1.11201
2024-08-29,1.11195,1.114,1.10561,1.10788
2024-08-30,1.10787,1.10951,1.10441,1.10535
2024-09-02,1.1048,1.10775,1.1042,1.10706
2024-09-03,1.10704,1.10729,1.10265,1.10456
2024-09-04,1.10453,1.10952,1.10396,1.10831
2024-09-05,1.10837,1.11196,1.10748,1.11093
2024-09-06,1.11092,1.11544,1.10659,1.10885
2024-09-09,1.10838,1.10911,1.10339,1.10376
2024-09-10,1.10368,1.10497,1.10152,1.10196
2024-09-11,1.10197,1.10549,1.10021,1.1013
2024-09-12,1.10129,1.10755,1.10056,1.10743
2024-09-13,1.10753,1.11016,1.10705,1.10782
2024-09-16,1.10766,1.11373,1.10765,1.11318
2024-09-17,1.11318,1.11463,1.11115,1.11143
2024-09-18,1.11147,1.11883,1.10975,1.11174
2024-09-19,1.11174,1.1179,1.10689,1.11622
2024-09-20,1.11623,1.1182,1.11363,1.11622
2024-09-23,1.11612,1.11674,1.1084,1.11119
2024-09-24,1.11119,1.1181,1.11034,1.11792
2024-09-25,1.11792,1.12137,1.11217,1.11332
2024-09-26,1.11327,1.11894,1.1126,1.11758
2024-09-27,1.11759,1.12029,1.11252,1.1164
2024-09-30,1.11605,1.1209,1.1114,1.11365
2024-10-01,1.11363,1.11442,1.10459,1.10697
2024-10-02,1.10698,1.10826,1.10327,1.10483
2024-10-03,1.10484,1.10495,1.10085,1.10332
2024-10-04,1.10324,1.10397,1.09514,1.0976
2024-10-07,1.09701,1.0987,1.09547,1.09741
2024-10-08,1.09739,1.09972,1.0961,1.09797
2024-10-09,1.09797,1.09812,1.09363,1.09414
2024-10-10,1.09414,1.09539,1.09001,1.0936
2024-10-11,1.0936,1.09538,1.09264,1.09333
2024-10-14,1.09329,1.09367,1.08887,1.09087
2024-10-15,1.09086,1.09168,1.08821,1.08929
2024-10-16,1.08927,1.09011,1.08534,1.08636
2024-10-17,1.08636,1.08731,1.08113,1.08323
2024-10-18,1.0832,1.08684,1.08254,1.0864
2024-10-21,1.08661,1.08716,1.08113,1.08159
2024-10-22,1.08163,1.08382,1.07928,1.0799
2024-10-23,1.07986,1.08068,1.07615,1.0783
2024-10-24,1.0783,1.08315,1.07709,1.08288
2024-10-25,1.08286,1.08394,1.07933,1.07959
2024-10-28,1.0796,1.08277,1.07823,1.08128
2024-10-29,1.08128,1.08264,1.07698,1.08202
2024-10-30,1.08206,1.08713,1.08088,1.08587
2024-10-31,1.08585,1.0888,1.08443,1.08861
2024-11-01,1.08866,1.09056,1.08321,1.08339
2024-11-04,1.08816,1.09143,1.087,1.08785
2024-11-05,1.08794,1.09385,1.08725,1.09251
2024-11-06,1.09255,1.09372,1.06827,1.07296
2024-11-07,1.07296,1.08247,1.07129,1.08048
2024-11-08,1.08053,1.08053,1.06869,1.07176
2024-11-11,1.07104,1.0728,1.06288,1.06566
2024-11-12,1.06565,1.06633,1.05953,1.06216
2024-11-13,1.06218,1.06535,1.05563,1.05633
2024-11-14,1.05632,1.05819,1.04976,1.05312
2024-11-15,1.05315,1.05888,1.05167,1.05279
2024-11-18,1.05334,1.06072,1.05305,1.05984
2024-11-19,1.05984,1.06008,1.05246,1.05956
2024-11-20,1.05956,1.06098,1.05077,1.05429
2024-11-21,1.0543,1.0555,1.04623,1.04758
2024-11-22,1.04758,1.04979,1.03373,1.04147
2024-11-25,1.04695,1.05301,1.04492,1.0496
2024-11-26,1.0496,1.05445,1.04252,1.04878
2024-11-27,1.0487,1.05876,1.04744,1.05674
2024-11-28,1.05671,1.05697,1.05276,1.05532
2024-11-29,1.05549,1.05971,1.05416,1.05824
2024-12-02,1.05666,1.05666,1.04613,1.04968
2024-12-03,1.04976,1.05349,1.0481,1.05089
2024-12-04,1.05083,1.05441,1.04728,1.05114
2024-12-05,1.05114,1.05894,1.05078,1.05871
2024-12-06,1.05875,1.06293,1.05424,1.05637
2024-12-09,1.05637,1.05943,1.05322,1.05541
2024-12-10,1.05546,1.0568,1.04989,1.05286
2024-12-11,1.05293,1.05393,1.04803,1.04975
2024-12-12,1.04976,1.0531,1.04639,1.04707
2024-12-13,1.04715,1.05242,1.04532,1.0497
